commit	score	wrong_min	api_calls	status	description
c9d52ad	10437.117	10139.500	5952.333	keep	unanswered roots (reply_count==0) now bucket as owed and reconcile drives them; unanswered_root_no_status 5816->35 but nudges now flip those to yellow (+5378)
66a166f	5041.639	4744.278	5947.222	keep	bucket_threads looks past our own nudge posts when picking `last` (nudge_flipped_to_yellow 5378->46)
786c866	2366.706	2030.444	6725.222	keep	mark_dirty also fires on our own threaded bot_message replies (other_wrong 2643->18)
ac282dc	479.950	132.333	6952.333	keep	reconcile schedules itself for the next 48h expiry (expire_at in board) - stale_or_flagged 1935->23
beea52c	175.544	132.333	864.222	keep	bucket_threads caches last msg per root keyed on latest_reply; reads 6710->621/day
a2e0b3a	98.989	53.333	913.111	keep	on_event flips a root to 🟡 the moment our session replies (latency_<2min 46->0, other_wrong 33->0)
e6a28ee	70.256	22.778	949.556	keep	mark_owed also fires for a brand-new owner root (unanswered_root_no_status 31->0)
37f3b56	70.256	22.778	949.556	discard	re-arm dirty when reconcile hits its mutation cap - identical score (the cap is never reached), so pure extra code
6991d7a	46.711	4.833	837.556	keep	reconcile and bucket_threads share one retried history read (a flaky 2nd read used to strand expired roots); wrong 22.8->4.8
7a117df	32.111	4.833	545.556	keep	nudge_cycle uses the bucket snapshot reconcile already computed (history 406->~118/day)
d51c614	28.733	4.833	478.000	keep	on_event feeds threaded messages into the last-message cache; replies reads 183->115/day
1517935	27.278	4.833	448.889	keep	sweep debounce 45s -> 300s (SWEEP_DEBOUNCE); instant flips already cover the fast path
3adfa69	25.767	4.833	418.667	keep	sweep debounce 300s -> 1800s
e0180ec	20.789	4.833	319.111	keep	thread_status cache (believed reaction per root) removes mark_owed reads; api 419->319/day
8db2e1b	15.956	0.000	319.111	keep	single STALE_AFTER (48h-1s) for cutoff+alarm; expiry now lands on the right tick, wrong_minutes 4.83->0
27d2c86	15.639	0.000	312.778	keep	sweep debounce 1800s -> 3600s (hourly self-correcting sweep)
9afaca9	15.211	0.000	304.222	keep	on_reaction 🏁 removes only the status thread_status says is there (no blind second remove)
6c37b8d	14.867	0.000	297.333	discard	expire quiet threads from the snapshot (no read) - only 6.9 calls/day saved for a second reconcile path; not worth the code
57d3300	15.211	0.000	304.222	keep	replies limit 20->200: score-neutral, fixes replies[-1] picking the 20th-OLDEST message on long threads
6926437	14.717	0.000	294.333	discard	threaded msgs skip the dirty flag: +0.49 here but wrong_minutes 0 -> 29.05 on --days 5 --chats 5, i.e. overfit
06b3e49	15.211	0.000	304.222	discard	mutation cap 10 -> 50: no score change and selfcheck asserts the cap of 10 (gate red)
